"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2088","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2782","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2729","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953303","2.13","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","2933","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","2809","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","2853","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","3295","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","3844","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","3981","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953304","2.14","3907","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953305","2.15","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953306","2.16","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2279","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2281","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2437","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2966","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2210","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2772","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953307","2.17","2720","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","3304","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","2353","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","2271","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","2970","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","2005","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","1960","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953308","2.18","1924","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953309","2.19","","..","","","0"
