"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024/2025","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953808","3.4","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","12037","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","13225","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","12923","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","12348","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","12360","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953809","3.5","12733","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953810","3.6","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953811","3.7","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953811","3.7","","..","","","0"
